date,category,description,credit,debit,observation,document,year,month,id,created_date,updated_date,created_by_id,is_sample
"2021-02-10","Bancário","Tarifa Mensalidade Pacote (Dez/2020)","0","78.6","","","2021","2","6941d3321f950020b4b9bd9c","2025-12-16T21:46:26.438000","2026-02-07T16:28:12.457000","694176db67702920b1472831","false"
"2021-12-16","Despesa Administrativa","Despachante - Assinaturas de GEO","0","2000","RONE SANTOS TEIXEIRA","PIX ENVIADO OUTRA INST - DIF TIT ","2021","12","6941d248ecd347c772dce8d3","2025-12-16T21:42:32.866000","2025-12-16T21:42:32.866000","694176db67702920b1472831","false"
"2021-12-30","Fiscal","Parcelamento REFIS","0","130.86","DEB AUT. RECEITA FEDERAL DO BRASIL RFB- DARA PARC","9044120009638 8182181","2021","12","6941d1c9003f8c58694bcdb4","2025-12-16T21:40:25.479000","2025-12-16T21:40:25.479000","694176db67702920b1472831","false"
"2021-12-30","Fiscal","Parcelamento REFIS","0","927.58","DEB AUT. RECEITA FEDERAL DO BRASIL RFB- DARA PARC","9020120009438 8572120","2021","12","6941d1ab6d0e92681264a76b","2025-12-16T21:39:55.918000","2025-12-16T21:39:55.918000","694176db67702920b1472831","false"
"2021-08-30","Bancário","Tarifas bancárias","0","11.1","Manutenção Conta","","2021","8","6941d01338f88dad4a24c1ea","2025-12-16T21:33:07.345000","2025-12-16T21:33:07.345000","694176db67702920b1472831","false"
"2021-08-27","Honorários Contábeis","Diligências de ITR CCIR IR - MARR SERVICOS CONTABEIS SOCIEDADE UNIPES","0","1500","Consultar situação fiscal | regularizar pendências | apurar impostos | acompanhar processos na Receita
","","2021","8","6941cfe9c8287b5651ccb73d","2025-12-16T21:32:25.692000","2025-12-18T00:08:32.544000","694176db67702920b1472831","false"
"2021-12-06","Taxas ","ART - CREA-MG","0","88.78","Taxa Resp. Técnica","MG202107748 40","2021","12","69418d6a23583b1b80d9cae3","2025-12-16T16:48:42.268000","2025-12-16T16:48:42.268000","694176db67702920b1472831","false"
"2021-12-01","Ambiental","Início Georreferenciamento Terra Engenharia","0","4000","RECIBO PRESTAÇÃO SERVIÇOS- Espolio Joaquim Machado Rocha","","2021","12","69418d410f5249e7f87f4a66","2025-12-16T16:48:01.687000","2025-12-16T16:48:01.687000","694176db67702920b1472831","false"
"2021-11-29","Fiscal","Parcelamento REFIS","0","130.11","DEB AUT. RECEITA FEDERAL DO BRASIL RFB- DARA PARC","9044120009638 8182181","2021","11","69418ce4bb34144d0dbfe5dc","2025-12-16T16:46:28.877000","2025-12-16T21:40:48.595000","694176db67702920b1472831","false"
"2021-11-29","Fiscal","Parcelamento REFIS","0","922.24","DEB AUT. RECEITA FEDERAL DO BRASIL RFB- DARA PARC","9020120009438 8572120","2021","11","69418cd793568a4e79430dd7","2025-12-16T16:46:15.736000","2025-12-16T16:46:15.736000","694176db67702920b1472831","false"
"2021-11-25","Taxas ","Taxa de responsabilidade técnica (ART)- CREA-MG","0","88.78","Taxa Resp. Técnica","MG202107485 65","2021","11","69418cba3f67162d86272196","2025-12-16T16:45:46.880000","2026-02-07T16:45:15.957000","694176db67702920b1472831","false"
"2021-11-01","Taxas ","Taxa de responsabilidade técnica (ART) CREA-MG","0","88.78","Custo de serviço técnico especializado (CONSELHO REGIONAL DE ENGENHARIA E 
AGRONOMIA)
","MG202106909 35","2021","11","69418c9f646eeb47eaa9aee8","2025-12-16T16:45:19.460000","2026-02-07T16:45:21.376000","694176db67702920b1472831","false"
"2021-10-29","Fiscal","Parcelamento REFIS","0","917.8","DEB AUT. RECEITA FEDERAL DO BRASIL RFB- DARA PARC","9020120009438 8572120","2021","10","69418b80a6b1495a548c5d63","2025-12-16T16:40:32.229000","2025-12-16T16:40:32.229000","694176db67702920b1472831","false"
"2021-10-29","Fiscal","Parcelamento REFIS","0","129.48","DEB AUT. RECEITA FEDERAL DO BRASIL RFB- DARA PARC","9044120009638 8182181","2021","10","69418b72d6982efe25c221f1","2025-12-16T16:40:18.979000","2025-12-16T16:40:18.979000","694176db67702920b1472831","false"
"2021-10-25","Despesa Administrativa","Gestão capacitação ","0","987","PAYU BR INTERMED DE NEGOC","","2021","10","69418b135f5ffc3ff09c42de","2025-12-16T16:38:43.797000","2026-02-07T16:43:12.628000","694176db67702920b1472831","false"
"2021-10-22","Fiscal","ITR - IMPOSTO PROPRIEDADE TERRITORIAL RURAL","0","1037.11","Regularização Rural","5329670334","2021","10","69418ab42cb5082e30e4cf3c","2025-12-16T16:37:08.094000","2025-12-16T16:37:08.094000","694176db67702920b1472831","false"
"2021-10-22","Fiscal","ITR - IMPOSTO PROPRIEDADE TERRITORIAL RURAL","0","1037.11","Regularização Rural","5329670344","2021","10","69418aa30795610c5e343a9b","2025-12-16T16:36:51.636000","2025-12-16T16:36:51.636000","694176db67702920b1472831","false"
"2021-10-22","Fiscal","ITR - IMPOSTO PROPRIEDADE TERRITORIAL RURAL","0","1037.11","Regularização Rural","5329670314","2021","10","69418a8520af0593f6747db5","2025-12-16T16:36:21.296000","2025-12-16T16:36:21.296000","694176db67702920b1472831","false"
"2021-10-22","Fiscal","ITR - IMPOSTO PROPRIEDADE TERRITORIAL RURAL","0","1037.11","Regularização Rural","5329670324","2021","10","69418a6304c8cf687a87d47a","2025-12-16T16:35:47.992000","2025-12-16T16:35:47.992000","694176db67702920b1472831","false"
"2021-09-21","Fiscal","ITR - IMPOSTO PROPRIEDADE TERRITORIAL RURAL","0","1082.83","Regularização Rural","5212949744","2021","9","694187ebdac1b382a9f47725","2025-12-16T16:25:15.124000","2025-12-16T16:33:40.873000","694176db67702920b1472831","false"
"2021-09-21","Fiscal","ITR - IMPOSTO PROPRIEDADE TERRITORIAL RURAL","0","1047.9","Regularização Rural","5212949814","2021","9","694187d6dac1b382a9f4771b","2025-12-16T16:24:54.862000","2025-12-16T16:33:04.477000","694176db67702920b1472831","false"
